code,piece,description,quantity,price
1,Ethel,Naomi Devaney,616,327.0
2,Ernesto,Christopher Kuehnle,244,375.0
3,Alta,Eric Chaplin,434,274.0
4,Leola,Megan Cole,868,197.0
5,Inga,Christina Walker,777,324.0
6,Richard,Georgia Mora,512,312.0
7,William,Otis Lloyd,262,162.0
8,Stephen,Owen Musick,132,53.0
9,Jeffrey,Domingo Wilson,593,332.0
10,Rachel,John Wester,767,105.0
11,Mary,John Thomas,644,139.0
12,Vincent,Zachary Newell,554,31.0
13,Jerry,Michael Bouska,508,226.0
14,Lona,James Brinks,978,224.0
15,Harold,Rhonda Ronson,119,319.0
16,Anthony,Reyna Hendrix,866,45.0
17,Justin,Keith Evans,83,253.0
18,Joshua,Scott Keeter,595,336.0
19,Harvey,Elizabeth Amin,704,328.0
20,Myrna,Juanita Bostwick,242,290.0
21,Matilda,Cindy Adamczyk,38,263.0
22,Becky,Theresa Gorton,426,237.0
23,Sandra,Mary Fillers,10,203.0
24,Herbert,Suzanne Mcdonald,86,331.0
25,Valeria,Rebecca Bruce,961,359.0
26,Leona,Donald Every,242,380.0
27,Jonathan,Alan Wms,567,371.0
28,Randy,Rena Stiteler,20,315.0
29,Jose,Zona Banchero,292,307.0
30,Harold,Monica Hudak,241,209.0
31,Leroy,Norma Felix,467,222.0
32,Carole,Daniel Childs,515,23.0
33,Alan,Cora Badilla,806,134.0
34,Cindy,Lynn Merrell,762,231.0
35,Santos,Charles Lang,594,70.0
36,Amanda,Jeanne Emerson,15,391.0
37,Steven,Nicole Jodoin,549,65.0
38,Arthur,Carol Tannenbaum,483,264.0
39,Logan,Laura Wissinger,816,195.0
40,Clifford,Jessica Keller,553,329.0
41,Barbara,Clair Smith,547,230.0
42,Danny,Roland Conner,694,322.0
43,Pablo,Jacqueline Immediato,796,253.0
44,Ismael,John Gonzalez,86,67.0
45,Mary,Richard Smith,874,102.0
46,Margaret,Raymond Huddleston,935,101.0
47,Sharon,Eddie Conner,963,308.0
48,Henry,Beverly Pleasant,295,42.0
49,Jacqueline,Carolyn Hodgdon,720,363.0
50,Fred,Todd Stutts,523,212.0
